form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,analysis_tag,source,page,language_id
komnungthangtampak268,se,2.sg.nfut.neg,se-mak-che,Σ-mak-che,Σ+mak+che,Σ m a k tʃ e,Σ + m a k + tʃ e,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak269,se,2.pl.nfut.neg,se-mak-chei,Σ-mak-chei,Σ+mak+chei,Σ m a k tʃ ei,Σ + m a k + tʃ ei,dialect_var,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak270,se,2.pl.nfut.neg,se-mak-chui,Σ-mak-chui,Σ+mak+chui,Σ m a k tʃ ui,Σ + m a k + tʃ ui,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak271,mu,2.sg.1.sg.nfut.neg,na-mu-mak-che,na-Σ-mak-che,na+Σ+mak+che,n a Σ m a k tʃ e,n a + Σ + m a k + tʃ e,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak272,mu,2.sg.1.pl.excl.nfut.neg,na-mu-mak-che,na-Σ-mak-che,na+Σ+mak+che,n a Σ m a k tʃ e,n a + Σ + m a k + tʃ e,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak273,mu,2.pl.1.sg.nfut.neg,na-mu-mak-chui,na-Σ-mak-chui,na+Σ+mak+chui,n a Σ m a k tʃ ui,n a + Σ + m a k + tʃ ui,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak274,mu,2.pl.1.sg.nfut.neg,na-mu-mak-chei,na-Σ-mak-chei,na+Σ+mak+chei,n a Σ m a k tʃ ei,n a + Σ + m a k + tʃ ei,dialect_var,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak275,mu,2.pl.1.pl.excl.nfut.neg,nan-mu-mak-chui,nan-Σ-mak-chui,na+n+Σ+mak+chui,n a n Σ m a k tʃ ui,n a + n + Σ + m a k + tʃ ui,sociolect_var,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak276,mu,2.pl.1.pl.excl.nfut.neg,na-mu-mak-ung,na-Σ-mak-ung,na+Σ+mak+ung,n a Σ m a k u ŋ,n a + Σ + m a k + u ŋ,sociolect_var,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
komnungthangtampak277,mu,2.sg.3.sg.nfut.neg,mu-mak-che,Σ-mak-che,Σ+mak+che,Σ m a k tʃ e,Σ + m a k + tʃ e,unspecified,,Kanshouwa2026NungthangtampakKom,nopage,komnungthangtampak
